Unnamed: 0.1,Unnamed: 0,age,ethnicity,full_path,gender,name,filename
55309,55309,59,black,69/nm0005569_rm1864345600_1952-11-8_2012.jpg,female,alfre woodard,nm0005569_rm1864345600_1952-11-8_2012_0.jpg
55361,55361,59,black,69/nm0005569_rm4156008960_1952-11-8_2012.jpg,female,alfre woodard,nm0005569_rm4156008960_1952-11-8_2012_0.jpg
55370,55370,59,black,69/nm0005569_rm68200960_1952-11-8_2012.jpg,female,alfre woodard,nm0005569_rm68200960_1952-11-8_2012_0.jpg
55308,55308,61,black,69/nm0005569_rm1819473920_1952-11-8_2014.jpg,female,alfre woodard,nm0005569_rm1819473920_1952-11-8_2014_0.jpg
55316,55316,55,black,69/nm0005569_rm2196409088_1952-11-8_2008.jpg,female,alfre woodard,nm0005569_rm2196409088_1952-11-8_2008_0.jpg
55352,55352,40,black,69/nm0005569_rm3475475968_1952-11-8_1993.jpg,female,alfre woodard,nm0005569_rm3475475968_1952-11-8_1993_0.jpg
55305,55305,61,black,69/nm0005569_rm1802696704_1952-11-8_2014.jpg,female,alfre woodard,nm0005569_rm1802696704_1952-11-8_2014_0.jpg
55286,55286,61,black,69/nm0005569_rm1154008320_1952-11-8_2014.jpg,female,alfre woodard,nm0005569_rm1154008320_1952-11-8_2014_0.jpg
55342,55342,55,black,69/nm0005569_rm3122825984_1952-11-8_2008.jpg,female,alfre woodard,nm0005569_rm3122825984_1952-11-8_2008_0.jpg
55301,55301,61,black,69/nm0005569_rm1735587840_1952-11-8_2014.jpg,female,alfre woodard,nm0005569_rm1735587840_1952-11-8_2014_0.jpg
55333,55333,41,black,69/nm0005569_rm3005713920_1952-11-8_1994.jpg,female,alfre woodard,nm0005569_rm3005713920_1952-11-8_1994_0.jpg
55343,55343,55,black,69/nm0005569_rm3139603200_1952-11-8_2008.jpg,female,alfre woodard,nm0005569_rm3139603200_1952-11-8_2008_0.jpg
55337,55337,41,black,69/nm0005569_rm3072822784_1952-11-8_1994.jpg,female,alfre woodard,nm0005569_rm3072822784_1952-11-8_1994_0.jpg
55379,55379,47,black,69/nm0005569_rm971815424_1952-11-8_2000.jpg,female,alfre woodard,nm0005569_rm971815424_1952-11-8_2000_0.jpg
55346,55346,52,black,69/nm0005569_rm3221199616_1952-11-8_2005.jpg,female,alfre woodard,nm0005569_rm3221199616_1952-11-8_2005_0.jpg
55344,55344,46,black,69/nm0005569_rm3153175040_1952-11-8_1999.jpg,female,alfre woodard,nm0005569_rm3153175040_1952-11-8_1999_0.jpg
55306,55306,51,black,69/nm0005569_rm1803196672_1952-11-8_2004.jpg,female,alfre woodard,nm0005569_rm1803196672_1952-11-8_2004_0.jpg
55280,55280,47,black,69/nm0005569_rm1022147072_1952-11-8_2000.jpg,female,alfre woodard,nm0005569_rm1022147072_1952-11-8_2000_0.jpg
55372,55372,52,black,69/nm0005569_rm724867840_1952-11-8_2005.jpg,female,alfre woodard,nm0005569_rm724867840_1952-11-8_2005_0.jpg
55357,55357,43,black,69/nm0005569_rm37591552_1952-11-8_1996.jpg,female,alfre woodard,nm0005569_rm37591552_1952-11-8_1996_0.jpg
