Unnamed: 0,Unnamed: 0_x,age,ethnicity,full_path,gender,name,filename,Unnamed: 0_y,tag
2642,55301,61,black,69/nm0005569_rm1735587840_1952-11-8_2014.jpg,female,alfre woodard,nm0005569_rm1735587840_1952-11-8_2014_0.jpg,655,no-smile
2650,55335,46,black,69/nm0005569_rm3052511744_1952-11-8_1999.jpg,female,alfre woodard,nm0005569_rm3052511744_1952-11-8_1999_0.jpg,1480,smile
2653,55350,59,black,69/nm0005569_rm3465850368_1952-11-8_2012.jpg,female,alfre woodard,nm0005569_rm3465850368_1952-11-8_2012_0.jpg,1481,smile
2646,55322,55,black,69/nm0005569_rm2253296640_1952-11-8_2008.jpg,female,alfre woodard,nm0005569_rm2253296640_1952-11-8_2008_0.jpg,661,no-smile
2644,55309,59,black,69/nm0005569_rm1864345600_1952-11-8_2012.jpg,female,alfre woodard,nm0005569_rm1864345600_1952-11-8_2012_0.jpg,1488,smile
2651,55340,61,black,69/nm0005569_rm309117952_1952-11-8_2014.jpg,female,alfre woodard,nm0005569_rm309117952_1952-11-8_2014_0.jpg,659,no-smile
2647,55327,54,black,69/nm0005569_rm284072192_1952-11-8_2007.jpg,female,alfre woodard,nm0005569_rm284072192_1952-11-8_2007_0.jpg,663,no-smile
2640,55286,61,black,69/nm0005569_rm1154008320_1952-11-8_2014.jpg,female,alfre woodard,nm0005569_rm1154008320_1952-11-8_2014_0.jpg,1486,smile
2657,55371,52,black,69/nm0005569_rm708090624_1952-11-8_2005.jpg,female,alfre woodard,nm0005569_rm708090624_1952-11-8_2005_0.jpg,656,no-smile
2652,55344,46,black,69/nm0005569_rm3153175040_1952-11-8_1999.jpg,female,alfre woodard,nm0005569_rm3153175040_1952-11-8_1999_0.jpg,660,no-smile
2648,55330,60,black,69/nm0005569_rm292085248_1952-11-8_2013.jpg,female,alfre woodard,nm0005569_rm292085248_1952-11-8_2013_0.jpg,1485,smile
2643,55302,59,black,69/nm0005569_rm1746905088_1952-11-8_2012.jpg,female,alfre woodard,nm0005569_rm1746905088_1952-11-8_2012_0.jpg,1489,smile
